Supplier_ID,Supplier_Name,Sustainability_Score,Cost_Per_Unit,Compliance_Certifications,Country,Risk_Assessment
SUP-197,Supplier_284,68.5,16.63,SA8000,Japan,High
SUP-198,Supplier_138,76.31,13.44,FairTrade,China,High
SUP-199,Supplier_215,97.81,10.35,"ISO 9001, SA8000",Canada,Low
SUP-200,Supplier_086,88.16,13.56,"SA8000, FairTrade",China,Medium
SUP-201,Supplier_178,89.35,19.4,ISO 9001,India,Medium
SUP-202,Supplier_234,66.25,15.88,"ISO 9001, ISO 14001",Canada,High
SUP-203,Supplier_216,93.99,15.05,ISO 14001,USA,Low
SUP-204,Supplier_012,99.29,10.94,ISO 14001,Japan,Low
SUP-205,Supplier_250,99.66,17.89,"None, FairTrade",Brazil,Low
SUP-206,Supplier_189,80.96,10.47,ISO 9001,Australia,Low
SUP-207,Supplier_003,96.18,16.03,ISO 9001,Canada,Medium
SUP-208,Supplier_194,92.81,10.19,"FairTrade, None",India,Medium
SUP-209,Supplier_168,94.15,18.27,"ISO 14001, SA8000",Canada,Low
SUP-210,Supplier_124,71.46,17.97,"SA8000, None",Japan,High
SUP-211,Supplier_273,71.3,16.19,None,Australia,High
SUP-212,Supplier_243,99.86,14.51,ISO 14001,Brazil,Low
SUP-213,Supplier_230,87.45,18.69,"FairTrade, ISO 14001",Canada,High
SUP-214,Supplier_231,86.01,11.15,"None, ISO 9001",UK,Medium
SUP-215,Supplier_057,81.9,13.5,"FairTrade, ISO 9001",USA,High
SUP-216,Supplier_078,87.6,14.12,SA8000,USA,Medium
SUP-217,Supplier_065,99.14,10.78,ISO 14001,China,Medium
SUP-218,Supplier_100,85.68,18.16,SA8000,Canada,Medium
SUP-219,Supplier_045,62.94,17.71,"SA8000, None",USA,Medium
SUP-220,Supplier_146,95.92,11.34,"FairTrade, SA8000",Brazil,Medium
SUP-221,Supplier_153,79.6,15.4,"None, FairTrade",USA,High
SUP-222,Supplier_190,93.37,12.41,FairTrade,Germany,High
SUP-223,Supplier_050,62.35,15.94,SA8000,Brazil,Medium
SUP-224,Supplier_088,83.82,12.99,FairTrade,India,Low
SUP-225,Supplier_036,72.11,11.69,SA8000,Canada,High
SUP-226,Supplier_242,84.55,11.18,"ISO 14001, ISO 9001",Brazil,Medium
SUP-227,Supplier_102,86.0,12.54,ISO 9001,Sweden,High
SUP-228,Supplier_032,78.8,16.82,"ISO 9001, ISO 14001",China,Medium
SUP-229,Supplier_043,74.59,18.51,"SA8000, FairTrade",Sweden,Low
SUP-230,Supplier_093,69.85,15.17,"ISO 9001, FairTrade",Canada,Low
SUP-231,Supplier_117,91.5,14.81,ISO 14001,Sweden,High
SUP-232,Supplier_087,77.64,19.43,"None, FairTrade",Canada,High
SUP-233,Supplier_039,99.1,18.86,"ISO 9001, SA8000",Japan,Low
SUP-234,Supplier_095,82.69,18.76,"ISO 14001, FairTrade",Brazil,High
SUP-235,Supplier_004,93.62,16.5,FairTrade,Brazil,Medium
SUP-236,Supplier_079,67.55,18.6,ISO 14001,Brazil,Medium
SUP-237,Supplier_165,88.7,17.38,"None, ISO 9001",Brazil,Medium
SUP-238,Supplier_038,96.38,12.24,None,USA,High
SUP-239,Supplier_201,77.61,10.84,SA8000,Canada,Medium
SUP-240,Supplier_204,83.83,17.76,None,Brazil,Low
SUP-241,Supplier_191,66.12,18.76,"ISO 14001, SA8000",USA,High
SUP-242,Supplier_053,75.99,13.85,"None, FairTrade",Australia,Low
SUP-243,Supplier_130,67.83,12.56,ISO 9001,Australia,Low
SUP-244,Supplier_067,90.45,13.65,ISO 14001,Germany,Medium
SUP-245,Supplier_062,89.2,15.67,FairTrade,Australia,High
SUP-246,Supplier_244,93.78,11.46,ISO 9001,Japan,Medium
SUP-247,Supplier_138,84.78,17.42,ISO 14001,UK,High
SUP-248,Supplier_081,62.73,15.97,None,Germany,Low
SUP-249,Supplier_059,76.67,10.85,"None, SA8000",Sweden,Low
SUP-250,Supplier_148,94.76,10.98,"ISO 14001, None",Australia,Medium
